RenameResult;RenameResult.EqualityContract;RenameResult.OldPath;RenameResult.NewPath
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\в сборках .NET.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Свойства в сборках .NET.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\в сборках .NET.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Свойства в сборках .NET.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\версии nanoCAD.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Получение версии nanoCAD.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\версии nanoCAD.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Получение версии nanoCAD.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\времени выполнения.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Измерение времени выполнения.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\времени выполнения.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Измерение времени выполнения.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\для nanoCAD.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка для nanoCAD.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\для nanoCAD.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка для nanoCAD.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\для нагрева нефти.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Энергия для нагрева нефти.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\для нагрева нефти.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Энергия для нагрева нефти.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\загрузки плагинов.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Рефакторинг загрузки плагинов.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\загрузки плагинов.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Рефакторинг загрузки плагинов.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\записка о несоответствии.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Служебная записка о несоответствии.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\записка о несоответствии.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Служебная записка о несоответствии.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\компоненты.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Инфраструктурные компоненты.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\компоненты.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Инфраструктурные компоненты.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\конфликтов библиотек.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Разрешение конфликтов библиотек.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\конфликтов библиотек.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Разрешение конфликтов библиотек.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS bat.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS bat.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS bat.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS bat.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS Отладка в bat фаилах.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS Отладка в bat файлах.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS Отладка в bat фаилах.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS Отладка в bat файлах.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\кэша в VS.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Очистка кэша в VS.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\между net462 и net481.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Разница между net462 и net481.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\между net462 и net481.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Разница между net462 и net481.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Методики сборки CAD.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Методики сборки CAD.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Методики сборки CAD.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Методики сборки CAD.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\на процесс в VS.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Бинд на процесс в VS.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\на процесс в VS.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Бинд на процесс в VS.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\настроек в VS.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Перенос настроек в VS.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\настроек в VS.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Перенос настроек в VS.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Отличие BaseOutputPath и OutputPath.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Отличие BaseOutputPath и OutputPath.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Отличие BaseOutputPath и OutputPath.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Отличие BaseOutputPath и OutputPath.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ошибка сборки .NET.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Ошибка сборки .NET.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ошибка сборки .NET.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Ошибка сборки .NET.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Подключение cs.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Подключение cs.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Подключение cs.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Подключение cs.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\поиск фаила.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Итеративный поиск файла.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\поиск фаила.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Итеративный поиск файла.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\работы с API.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Способы работы с API.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\работы с API.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Способы работы с API.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Размещение в одном каталоге.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Размещение в одном каталоге.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Размещение в одном каталоге.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Размещение в одном каталоге.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\с AssemblyInfo.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Конфликт с AssemblyInfo.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\с AssemblyInfo.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Конфликт с AssemblyInfo.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка через .sln.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Сборка через .sln.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка через .sln.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Проект Сборка через .sln.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборки .NET.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Атрибуты сборки .NET.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборки .NET.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Атрибуты сборки .NET.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборки PDFsharp.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ошибка сборки PDFsharp.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборки PDFsharp.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ошибка сборки PDFsharp.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборок из NuGet.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Копирование сборок из NuGet.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сборок из NuGet.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Копирование сборок из NuGet.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сделать форк.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Как сделать форк.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\сделать форк.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Как сделать форк.md"
